"D","JK-D","V(JK-D)","Z","pvalue","nABBA","nBABA","nBlocks","H1","H2","H3","H4"
-0.005263,-0.005263,1e-05,-1.627654,0.103598,14574.58985,14728.81043,10,"Cbig_B","Cbig_E","Cbru_B","Cpar"
-0.006766,-0.006766,1e-05,-2.167779,0.030176,14604.54048,14803.53002,10,"Cbig_B","Cbig_E","Cbru_S","Cpar"
0.010348,0.010348,1.5e-05,2.697503,0.006986,13807.51379,13524.67702,10,"Cbig_B","Cbig_E","Cmol_B","Cpar"
0.011824,0.011824,1.2e-05,3.397299,0.000681,14242.98748,13910.11559,10,"Cbig_B","Cbig_E","Cmol_E","Cpar"
0.00288,0.00288,9e-06,0.982588,0.32581,14569.06072,14485.39743,10,"Cbig_B","Cbig_E","Crub","Cpar"
-0.020552,-0.020552,2e-05,-4.557927,5e-06,14929.34597,15555.88905,10,"Cbig_B","Cbru_B","Cmol_B","Cpar"
-0.02528,-0.02528,2.3e-05,-5.298833,0,15269.81116,16061.88538,10,"Cbig_B","Cbru_B","Cmol_E","Cpar"
-0.027063,-0.027063,2.3e-05,-5.610852,0,14869.48706,15696.70219,10,"Cbig_B","Cbru_S","Cmol_B","Cpar"
-0.028464,-0.028464,2.2e-05,-6.067557,0,15256.11898,16150.05747,10,"Cbig_B","Cbru_S","Cmol_E","Cpar"
-0.043457,-0.043457,2.7e-05,-8.31941,0,14594.15026,15920.21547,10,"Cbig_B","Crub","Cmol_B","Cpar"
-0.045617,-0.045617,3.5e-05,-7.757318,0,14970.34033,16401.41338,10,"Cbig_B","Crub","Cmol_E","Cpar"
-0.029569,-0.029569,5e-06,-13.165825,0,14914.1296,15822.99434,10,"Cbig_E","Cbru_B","Cmol_B","Cpar"
-0.035564,-0.035564,8e-06,-12.327529,0,15248.94986,16373.55858,10,"Cbig_E","Cbru_B","Cmol_E","Cpar"
-0.036039,-0.036039,1.7e-05,-8.697478,0,14879.92113,15992.53186,10,"Cbig_E","Cbru_S","Cmol_B","Cpar"
-0.038724,-0.038724,1.5e-05,-9.988902,0,15257.81348,16487.093,10,"Cbig_E","Cbru_S","Cmol_E","Cpar"
-0.052495,-0.052495,3.1e-05,-9.447375,0,14520.32201,16129.26012,10,"Cbig_E","Crub","Cmol_B","Cpar"
-0.056027,-0.056027,3.2e-05,-9.84305,0,14875.45642,16641.24342,10,"Cbig_E","Crub","Cmol_E","Cpar"
-0.000563,-0.000563,1.3e-05,-0.157851,0.874575,15090.71525,15107.72631,10,"Cbru_B","Cbru_S","Cbig_B","Cpar"
-0.00226,-0.00226,1.7e-05,-0.548659,0.583239,15079.07571,15147.37474,10,"Cbru_B","Cbru_S","Cbig_E","Cpar"
-0.007241,-0.007241,1.3e-05,-1.992729,0.046291,13924.18319,14127.30068,10,"Cbru_B","Cbru_S","Cmol_B","Cpar"
-0.003563,-0.003563,1.1e-05,-1.068238,0.285413,14357.56847,14460.24779,10,"Cbru_B","Cbru_S","Cmol_E","Cpar"
0.009255,0.009255,1.6e-05,2.345653,0.018994,15229.06748,14949.75658,10,"Cbru_B","Cbru_S","Crub","Cpar"
-0.008901,-0.008901,2.1e-05,-1.937217,0.052719,16192.34192,16483.17378,10,"Cbru_B","Crub","Cbig_B","Cpar"
-0.001656,-0.001656,2.2e-05,-0.350126,0.726244,16364.51438,16418.7961,10,"Cbru_B","Crub","Cbig_E","Cpar"
-0.023358,-0.023358,2.2e-05,-4.955471,1e-06,14671.365,15373.15866,10,"Cbru_B","Crub","Cmol_B","Cpar"
-0.020867,-0.020867,2.1e-05,-4.575457,5e-06,15107.25507,15751.1721,10,"Cbru_B","Crub","Cmol_E","Cpar"
-0.008202,-0.008202,1.7e-05,-1.979838,0.047722,16194.39699,16462.23264,10,"Cbru_S","Crub","Cbig_B","Cpar"
0.000537,0.000537,1.7e-05,0.131172,0.895639,16368.582,16350.99846,10,"Cbru_S","Crub","Cbig_E","Cpar"
-0.016477,-0.016477,6e-06,-6.594332,0,14734.65161,15228.34827,10,"Cbru_S","Crub","Cmol_B","Cpar"
-0.01737,-0.01737,7e-06,-6.722787,0,15127.26835,15662.08189,10,"Cbru_S","Crub","Cmol_E","Cpar"
0.043601,0.043601,1.2e-05,12.776744,0,15579.06419,14277.30987,10,"Cmol_B","Cmol_E","Cbig_B","Cpar"
0.045009,0.045009,1.3e-05,12.582848,0,15703.77121,14351.02357,10,"Cmol_B","Cmol_E","Cbig_E","Cpar"
0.038066,0.038066,1e-05,12.285652,0,15441.36012,14308.87311,10,"Cmol_B","Cmol_E","Cbru_B","Cpar"
0.041477,0.041477,8e-06,14.910936,0,15535.51464,14298.11735,10,"Cmol_B","Cmol_E","Cbru_S","Cpar"
0.040878,0.040878,1.3e-05,11.407285,0,15258.01617,14059.56396,10,"Cmol_B","Cmol_E","Crub","Cpar"
