sfs_type	taxa	nref	n1	n2	m	tsplit	tsc	nref_sd	n1_sd	n2_sd	m_sd	tsplit_sd	tsc_sd
gl	cppar_cpery	0.00160710662332	0.00245533631039	0.00116898522797	97.5700631234	0.00280555887525	0.00137471899806	2.068870349721082e-05	2.9962280132e-05	1.36587250461e-05	1.74095178598	4.2318882635e-05	1.82398648818e-05
gl	cbig_b_cbru_b	0.00185422384244	0.00398692596888	0.00719855532547	633.328896121	0.00242309635536	0.000413685855595	2.2104393073392483e-05	5.25695135502e-05	9.9861607019e-05	11.1173664456	3.14169399942e-05	9.60429223506e-06
gl	cbig_b_cbru_s	0.00178499831806	0.0042608384644	0.00418178684156	335.775183415	0.00279794832775	0.000944086799146	2.9238014787753165e-05	7.01840727467e-05	5.47181751155e-05	5.48869531459	4.01058857776e-05	2.82216288753e-05
gl	cbig_e_cbru_b	0.00181172723263	0.00311665999028	0.00785863290903	461.430745909	0.00246491326395	0.000520118786953	2.6380892562612275e-05	4.30705927533e-05	0.000123029973919	8.60711282875	3.69370676223e-05	1.33348944341e-05
gl	cbig_e_cbru_s	0.00172878253543	0.00335897162563	0.00454038914477	281.872948407	0.00288270667257	0.00102879876307	2.7104794580338856e-05	5.03179754585e-05	6.0788348518e-05	5.00492281214	4.15915903422e-05	2.41430623471e-05
gl	cmol_b_cbig_b	0.00186821301915	0.00544794477252	0.00451711695621	350.120997263	0.00269781370852	0.000565732591513	2.3774236365065666e-05	7.63245992346e-05	6.22171891076e-05	7.99997766695	3.8593743315e-05	1.7588347529e-05
gl	cmol_b_cbig_e	0.00181121151491	0.00591550024025	0.00350881601142	290.206399552	0.00269976394124	0.000678984155102	2.776869286784234e-05	9.22299248803e-05	5.12713585747e-05	5.33633282565	4.11788987427e-05	1.77468605093e-05
gl	cmol_b_cbru_b	0.00185395801124	0.0048167989494	0.00684602172337	506.850244056	0.00270385446431	0.000353160195667	2.3548690295025773e-05	6.81207159866e-05	0.000105769088573	8.41233450119	3.2303224843e-05	5.63878448508e-06
gl	cmol_b_cbru_s	0.00181602915306	0.00519448677617	0.00430282547303	252.193113618	0.00294995202887	0.00078132847787	2.1766253056772302e-05	8.67031002635e-05	5.6398686405e-05	4.98921414568	3.68810876058e-05	1.80325016012e-05
gl	cmol_e_cbig_b	0.00177567447696	0.00426322678338	0.00445694258267	258.479651567	0.00279579803163	0.000885894016536	2.1603076413508838e-05	5.95259588657e-05	6.47221709488e-05	4.28833980652	3.62105973226e-05	2.56709671039e-05
gl	cmol_e_cbig_e	0.00174758220603	0.00458109965063	0.00352306986031	227.836946017	0.0028350807203	0.00100965692309	2.4811752591440614e-05	6.71669391431e-05	5.47222435343e-05	4.27609604997	3.85462074017e-05	2.25923224501e-05
gl	cmol_e_cbru_b	0.00177326831725	0.00392912571049	0.00691878686324	320.418467095	0.00271481252802	0.000577368018545	2.0452280541548837e-05	5.31788688271e-05	0.000110451131772	4.94165969597	3.24888545121e-05	8.93202033728e-06
gl	cmol_e_cbru_s	0.00173551987824	0.00417915543904	0.00429293732773	203.47637614	0.00301560881343	0.00107137296845	2.3735143070788668e-05	5.66396354644e-05	6.23248005162e-05	3.86006945137	4.2281317034e-05	2.27140069395e-05
gl	cbig_b_crub_a	0.00173907775911	0.00481455233572	0.00347064417519	354.467341332	0.00246455622553	0.000632110029287	2.312761811532822e-05	7.29604741359e-05	4.19619893004e-05	6.26289976202	3.21163998525e-05	1.11768826724e-05
gl	cbig_e_crub_a	0.00168496663685	0.00369845750209	0.00379252245153	285.556647717	0.00249855345519	0.000752878667785	2.1642438605508647e-05	5.17504604731e-05	4.7748079296e-05	5.42717851359	3.74234783495e-05	1.99398337112e-05
gl	cbru_b_crub_a	0.00173051938982	0.00795780568727	0.00310819764189	548.239578015	0.00235374026976	0.000414223194858	2.2165183574402894e-05	0.000111982242062	3.7254560885e-05	8.15530277262	2.99130889855e-05	7.81501279333e-06
gl	cbru_s_crub_a	0.00166418539916	0.00464396145073	0.0035011914335	306.343518798	0.00261024728163	0.000845591092984	1.953991435405189e-05	5.31777644002e-05	4.00158659661e-05	3.99842841812	3.31132432668e-05	1.85959973496e-05
gl	cmol_b_crub_a	0.00171027395388	0.0055212574418	0.00345165898506	278.137243033	0.00276033191539	0.000579005444208	1.9879294240509003e-05	7.80355564612e-05	3.87001888711e-05	3.67376461687	3.33435572674e-05	7.79427993678e-06
gl	cmol_e_crub_a	0.00167654692631	0.00441449608252	0.00352980933905	215.08562694	0.00282149951719	0.000790484339589	2.1888960860699062e-05	6.43266434915e-05	4.48244947883e-05	3.39725315986	3.40739086143e-05	1.37626575041e-05
