cbig_b_cbru_b	-22977.273321642762	-22612.710905623702	0.0	0.0001722188840005412
cbig_b_cbru_s	-20466.537921993622	-20174.3589092155	0.0	1.0
cbig_e_cbru_b	-24039.677592493324	-23888.686635697304	0.0	0.0021642449247878393
cbig_e_cbru_s	-21321.586318827904	-21148.176450980012	0.0	0.003139048288323787
cmol_b_cbig_b	-24328.491183127368	-24291.27393296495	0.0	1.0
cmol_b_cbig_e	-24132.297736802	-24110.51377589056	2.04748440424396e-11	1.0
cmol_e_cbig_b	-19427.840434156085	-19413.5233537795	4.371309014761238e-08	0.16149219926661895
cmol_e_cbig_e	-20168.894288612893	-20161.64206877933	6.991480460383226e-05	0.24846955638611767
cmol_b_cbru_b	-33964.974745305044	-33814.67475801596	0.0	0.0029384327163428647
cmol_b_cbru_s	-30576.97449843239	-30376.152168768378	0.0	0.0006580606225116137
cmol_e_cbru_b	-26891.543939015253	-26850.15747733874	0.0	0.049558024421151536
cbig_b_crub_a	-19775.421593818566	-19691.673920029865	0.0	0.23024795453281022
cbig_e_crub_a	-21178.961692731144	-21154.262941457622	1.0450529330796599e-12	0.013723118490046482
cmol_b_crub_a	-31465.36990276446	-31465.52284644788	1.0	1.0
cmol_e_crub_a	-26547.16497763107	-26500.892007834947	0.0	0.043667806690420696
cbru_b_crub_a	-21799.774983427444	-21053.964109760025	0.0	0.0
cbru_s_crub_a	-16687.234937984213	-16105.327642602608	0.0	3.816997196093297e-07
cmol_e_cbru_s	-25535.70074559325	-25528.40955110648	6.708127013177467e-05	0.2584317672215074
cppar_cpery	-9218.577246302772	-9218.896873292677	1.0	1.0
