cppar_cpery	-11389.790571788091	-11312.587826447898	1.0
cbig_b_cbru_b	-29174.844647587543	-29700.329536818917	0.4670910407002469
cbig_b_cbru_s	-22849.368088502844	-23095.143326123292	0.47776655054634576
cbig_e_cbru_b	-29800.6031268531	-30364.58655570897	0.46681578981804484
cbig_e_cbru_s	-23743.44545085102	-23999.342597537652	0.47729877248257624
cmol_b_cbig_b	-32633.288507739835	-33103.2928050582	0.4736208403646417
cmol_b_cbig_e	-30933.204172872705	-31383.158448877	0.4734062026348783
cmol_b_cbru_b	-49613.01394496714	-50397.64638072581	0.46871234866473754
cmol_b_cbru_s	-40393.01830479637	-40819.89819841151	0.47626571980396326
cmol_e_cbig_b	-23018.743898639612	-23273.368593964464	0.47969024440688046
cmol_e_cbig_e	-22959.87452496887	-23180.663369415874	0.48062678635614386
cmol_e_cbru_b	-36857.182132013535	-37359.48628885904	0.4746908625439433
cmol_e_cbru_s	-29383.999664589857	-29572.993344523504	0.48370177578379414
cbig_b_crub_a	-26015.86035884314	-26659.284721166445	0.4663115823288928
cbig_e_crub_a	-26571.773559255453	-27051.009558844184	0.4705926747077225
cbru_b_crub_a	-29348.362255152853	-30427.81442664688	0.4561520553872419
cbru_s_crub_a	-21202.24334895995	-21696.382710707374	0.4701942269803102
cmol_b_crub_a	-44357.287836090836	-45209.08693295112	0.4663297450124758
cmol_e_crub_a	-34807.6640833501	-35341.42246795994	0.47315247512818315
